Judul,Harga,Deskripsi
"Mesin Sterilisasi UHT kapasitas 1000 liter Asianindo","0","MESIN STERILISASI UHT

Mesin Sterilisasi UHT merupakan mesin yang memiliki metode untuk menjaga kualitas pangan yang bersifat cair dengan menggunakan pemanasan intensif dalam waktu cepat. Mesin sterilisasi ini, digunakan untuk mensterilisasi minuman antara lain susu, yogurt, teh, sirup, minuman herbal, dan lain-lain.

Spesifikasi :
- Kapasitas = 1000 ltr/jam
- ⁠Sistem Sterilisasi = indirect
- ⁠Modul UHT menggunakan sistem pemanas steam sudah termasuk internal boiler dengan pemanas electric heater
- ⁠Media pendingin = cooling water
- ⁠Suhu sterilisasi = 60 - 145*C (bisa disetting)
- ⁠Lama holding sterilisasi = 5 - 10 detik
- ⁠Suhu output produk = 30 - 40*C
- ⁠Type heat exchanger = Shell & Tube HE
- ⁠Sistem control operational = automatic PLC & HMI
- ⁠Material = stainless steel SUS 304"
"Mesin Giling Bumbu Kapasitas 50kg Asianindo","0","Mesin Giling Bumbu FFC 15

Mesin giling bumbu dengan model FFC 15, ideal untuk kebutuhan Anda. Dengan penggerak dinamo motor atau motor bensin, mesin ini siap menghasilkan tepung hingga 55 kg per jam. Rangka besi yang kokoh menjamin daya tahan lama. Cocok untuk penggunaan industri kecil maupun menengah.

Spesifikasi Lengkap
- Model: FFC 15
- Penggerak: Dinamo Motor/Motor bensin
- Produktivitas: 55 kg/Jam
- Rangka: Besi
- Isi Paket: 3 pcs saringan (halus, sedang, kasar)

Semua spesifikasi dirancang untuk efisiensi dan kinerja optimal. Pastikan Anda memilih mesin yang tepat untuk kebutuhan produksi Anda."
"Mesin Pirolisis Sampah Plastik Kapasitas 40 Kg CV Asianindo","0","Mesin Pirolisis Plastik adalah alat pengolah limbah plastik menggunakan panas tinggi dalam kondisi minim oksigen untuk mengubah plastik menjadi bahan bakar cair seperti premium, minyak tanah, solar ringan, serta gas yang dapat dimanfaatkan kembali sebagai sumber panas. Teknologi ini menjadi solusi modern untuk mengurangi limbah plastik sekaligus menghasilkan produk bernilai tinggi yang dapat dimanfaatkan untuk kebutuhan industri maupun energi.

Dengan metode pemanasan tertutup, proses pirolisis memecah struktur plastik tanpa pembakaran terbuka, sehingga lebih aman, efisien, dan ramah lingkungan. Mesin ini cocok digunakan untuk pengusaha daur ulang, pengolahan limbah, hingga industri skala kecil dan menengah.

Spesifikasi Mesin:
* Kapasitas 40 kg / proses
* Material Stainless Steel 3 mm (kecuali bagian dudukan/jagrak)
* Komponen lengkap: tabung reaktor, kondensor pendingin, pipa penyalur gas, dan bak sirkulasi air
* Dilengkapi: pressure gauge (Pengatur Suhu otomatis dan manual)
* Fitur Termometer Ruangan Terpasang|
* Bahan Bakar : Oli Bekas
* Dilengkapi Safety Valve, Pengukur Tekanan, dan Kran Hasil
* Dilengkapi Penahan panas di sekeliling tabung utama reaktor
* Hasil minyak terbagi 2 : Setara Solar dan Premium
* Dilengkapi Set Kompor

Cara Kerja Mesin Pirolisis Plastik:
1. Pemanasan
Plastik (jenis PP, PE, dan sejenisnya) dimasukkan ke dalam reaktor, kemudian dipanaskan hingga suhu tinggi sekitar 350–500°C dalam kondisi tanpa oksigen.
2. Penguraian (Thermal Cracking)
Pada suhu tinggi ini, plastik mulai terurai menjadi gas hidrokarbon. Gas tersebut kemudian dialirkan menuju kondensor.
3. Kondensasi & Pemurnian
Gas hasil pirolisis didinginkan dalam kondensor hingga berubah menjadi cairan bahan bakar seperti:
* Minyak pirolisis (setara premium)
* Solar ringan

Sementara residu padat dapat digunakan sebagai carbon black, dan sebagian gas dapat dipakai kembali sebagai bahan bakar pemanas."
"4 Warna Mesin Sablon Plastik Asianindo (Rotogravure)","0","MESIN SABLON PLASTIK

Mesin Sablon Plastik 4 Warna. 
Spesifikasi
- Dimensi P 500cm x L 130cm x T 170cm 
- Bodi UNP/Plat esser 
- Kapasitas Lebar media Max 55 
- Lebar Gambar max 50 cm 
- Kecepatan max 50rpm 
- Power Main 2 motor 2 HP VS (Variable speed) 
- Blower 4 X 150watt 
- Transmisi Gear Box 
- Inventer 
- Heater 
- Doctorblade 
- Tension 1 
- Gearbox

catatan : 
Spek bisa berubah tergantung permintaan pembeli. garansi 1 tahun setelah mesin sampai di lokasi dan dipandu oleh ahli di bidangnya.

Harga 4 Warna : Rp 185.000.000"
"Mesin Pirolisis Sampah Plastik Kapasitas 20 Kg CV Asianindo","0","Mesin Pirolisis Plastik adalah alat pengolah limbah plastik menggunakan panas tinggi dalam kondisi minim oksigen untuk mengubah plastik menjadi bahan bakar cair seperti premium, minyak tanah, solar ringan, serta gas yang dapat dimanfaatkan kembali sebagai sumber panas. Teknologi ini menjadi solusi modern untuk mengurangi limbah plastik sekaligus menghasilkan produk bernilai tinggi yang dapat dimanfaatkan untuk kebutuhan industri maupun energi.

Dengan metode pemanasan tertutup, proses pirolisis memecah struktur plastik tanpa pembakaran terbuka, sehingga lebih aman, efisien, dan ramah lingkungan. Mesin ini cocok digunakan untuk pengusaha daur ulang, pengolahan limbah, hingga industri skala kecil dan menengah.

Spesifikasi Mesin:
* Kapasitas 20 kg / proses
* Material Stainless Steel 3 mm (kecuali bagian dudukan/jagrak)
* Komponen lengkap: tabung reaktor, kondensor pendingin, pipa penyalur gas, dan bak sirkulasi air
* Dilengkapi: pressure gauge (Pengatur Suhu otomatis dan manual)
* Fitur Termometer Ruangan Terpasang|
* Bahan Bakar : Oli Bekas
* Dilengkapi Safety Valve, Pengukur Tekanan, dan Kran Hasil
* Dilengkapi Penahan panas di sekeliling tabung utama reaktor
* Hasil minyak terbagi 2 : Setara Solar dan Premium
* Dilengkapi Set Kompor

Cara Kerja Mesin Pirolisis Plastik:
1. Pemanasan
Plastik (jenis PP, PE, dan sejenisnya) dimasukkan ke dalam reaktor, kemudian dipanaskan hingga suhu tinggi sekitar 350–500°C dalam kondisi tanpa oksigen.
2. Penguraian (Thermal Cracking)
Pada suhu tinggi ini, plastik mulai terurai menjadi gas hidrokarbon. Gas tersebut kemudian dialirkan menuju kondensor.
3. Kondensasi & Pemurnian
Gas hasil pirolisis didinginkan dalam kondensor hingga berubah menjadi cairan bahan bakar seperti:
* Minyak pirolisis (setara premium)
* Solar ringan

Sementara residu padat dapat digunakan sebagai carbon black, dan sebagian gas dapat dipakai kembali sebagai bahan bakar pemanas."
"Mesin Destilasi Minyak Nilam Atsiri 100 Kilogram CV Asianindo","0","Mesin destilasi merupakan salah satu mesin yang digunakan sebagai pengolah minyak atsiri. Mesin ini bisa mengolah berbagai jenis dedaunan dengan memakai sistim penguapan. Untuk bahan yang dipakai dalam pembuatan dari minyak atsiri yaitu daun cengkeh, daun kayu putih, daun sirih, daun kayu manis, daun cendana, dan berbagai jenis daun lainnya yang bisa mengeluarkan minyak. 

Spesifikasi : 
    * Kapasitas 100 liter / proses
    * Tabung reaktan Stainless Steel 304 Food Grade, 3 mm
    * Bahan bakar LPG (bisa dimodifikasi minyak tanah, kayu bakar)
    * Dimensi Panggung : Ø 130 cm dengan tinggi x 130 cm 
    * Tabung Reaktor    : 60 x 60 x 140 cm
    * Kondensor: Ø 45 cm dengan tinggi 140 cm
    * Bak Air : Ø 45 cm tinggi 130 cm
    * Keranjang : Ø 86 cm tinggi 122 cm
    * Boiler       : Ø 45 cm tinggi 140 cm
   *  Listrik      : 250 watt"
"Retort Sterilisasi 100 Liter Pengawet Olahan Makanan & Bumbu Tanpa Bahan Pengawet | CV Asianindo","0","MESIN RETORT STERILISASI

Mesin retort ini ideal untuk sterilisasi produk makanan dalam kemasan tertutup. Menggunakan suhu tinggi dan tekanan untuk membunuh mikroorganisme berbahaya. Memperpanjang umur simpan produk. Bekerja sesuai Perka BPOM untuk produk steril komersial makanan olahan dalam kemasan non refrigerator. Awet tanpa pendinginan.

SPESIFIKASI
- TIPE MESIN : RVRL_100 OT IJT
- SISTEM KONTROL : OTOMATIS
- BAHAN : STAINLESS STEEL
- SISTEM PENGUNCIAN : RADIAL
- VOLUME TABUNG : 100 LITER
- DIMENSI TABUNG : 50 X 60 CM
- TEMPERATUR DIGITAL : SUPPORT DATA LOGGER
- MESIN PENDUKUNG : 1 SET BOILER
- PELENGKAP : 1 SET KOMPOR + REGULATOR"
"Mesin Cetak Bakso Otomatis Kapasitas Besar 280 Butir/ Menit | CV Asianindo","0","Mesin Pencetak Bakso CV Asianindo adalah solusi tepat untuk meningkatkan produktivitas usaha bakso Anda. Dengan kapasitas produksi hingga 280 butir bakso per menit, mesin ini membantu mencetak bakso secara cepat, seragam, dan higienis sehingga usaha Anda semakin efisien.

Spesifikasi Mesin:
- Voltase: 220–240V
- Frekuensi: 50/60Hz
- Daya Listrik: 1.100 Watt
- Kapasitas Produksi: 280 butir/menit
- Kecepatan Aduk: 1.420 rpm
- Ukuran Cetak Bakso: 18 mm / 26 mm / 39 mm (dapat disesuaikan sesuai kebutuhan kecil-besarnya bakso)
- Berat Mesin: 74 Kg
- Dimensi (P x L x T): 750 x 450 x 1250 mm

Keunggulan Mesin Pencetak Bakso CV Asianindo:
-Meningkatkan kapasitas produksi dengan cepat dan stabil
- Hasil bakso lebih seragam dan higienis
- Ukuran cetak fleksibel sesuai kebutuhan usaha
- Desain kokoh dan tahan lama, cocok untuk usaha kecil hingga industri
- Hemat tenaga kerja, hemat waktu, dan lebih efisien

Cocok Digunakan Untuk:
- Usaha bakso skala kecil hingga besar
- Restoran, katering, dan dapur produksi makanan olahan

Dengan Mesin Pencetak Bakso CV Asianindo, Anda dapat memproduksi bakso lebih banyak dalam waktu singkat dan menjaga kualitas produk tetap konsisten."
"Mesin Packaging Otomatis Kapasitas 250 Gram (Pengemas) Asianindo","0","Mesin Pengemas Otomatis (Packaging)

Merupakan mesin yang berfungsi untuk mengemas berbagai macam produk secara otomatis. kemasan produk yang menarik akan meningkatkan daya tarik suatu produk pada saat di jual.
Kondisi baru dan bergaransi.
Ada setelan untuk pengaturan berat kemasan, mulai berat 5 gram, 10 gram, 50 gram, sampai 250 gram.
 
Beberapa contoh kemasan untuk mesin packaging otomatis :
- packing gula pasir
- packing cairan
- pengemas kopi
- pengemas bubuk 
- dll

Daya listrik 1800 watt
Berat mesin +- 350 kg
Material pengemas Al + PE ,OPP + PE, NY + PE , dan bahan kertas pengemas lain."
"Mesin Pirolisis Sampah Plastik Kapasitas 50 Kg CV Asianindo","0","Mesin Pirolisis Plastik adalah alat pengolah limbah plastik menggunakan panas tinggi dalam kondisi minim oksigen untuk mengubah plastik menjadi bahan bakar cair seperti premium, minyak tanah, solar ringan, serta gas yang dapat dimanfaatkan kembali sebagai sumber panas. Teknologi ini menjadi solusi modern untuk mengurangi limbah plastik sekaligus menghasilkan produk bernilai tinggi yang dapat dimanfaatkan untuk kebutuhan industri maupun energi.

Dengan metode pemanasan tertutup, proses pirolisis memecah struktur plastik tanpa pembakaran terbuka, sehingga lebih aman, efisien, dan ramah lingkungan. Mesin ini cocok digunakan untuk pengusaha daur ulang, pengolahan limbah, hingga industri skala kecil dan menengah.

Spesifikasi Mesin:
* Kapasitas 50 kg / proses
* Material Stainless Steel 3 mm (kecuali bagian dudukan/jagrak)
* Komponen lengkap: tabung reaktor, kondensor pendingin, pipa penyalur gas, dan bak sirkulasi air
* Dilengkapi: pressure gauge (Pengatur Suhu otomatis dan manual)
* Fitur Termometer Ruangan Terpasang|
* Bahan Bakar : Oli Bekas
* Dilengkapi Safety Valve, Pengukur Tekanan, dan Kran Hasil
* Dilengkapi Penahan panas di sekeliling tabung utama reaktor
* Hasil minyak terbagi 2 : Setara Solar dan Premium
* Dilengkapi Set Kompor

Cara Kerja Mesin Pirolisis Plastik:
1. Pemanasan
Plastik (jenis PP, PE, dan sejenisnya) dimasukkan ke dalam reaktor, kemudian dipanaskan hingga suhu tinggi sekitar 350–500°C dalam kondisi tanpa oksigen.
2. Penguraian (Thermal Cracking)
Pada suhu tinggi ini, plastik mulai terurai menjadi gas hidrokarbon. Gas tersebut kemudian dialirkan menuju kondensor.
3. Kondensasi & Pemurnian
Gas hasil pirolisis didinginkan dalam kondensor hingga berubah menjadi cairan bahan bakar seperti:
* Minyak pirolisis (setara premium)
* Solar ringan

Sementara residu padat dapat digunakan sebagai carbon black, dan sebagian gas dapat dipakai kembali sebagai bahan bakar pemanas."
"Mesin Vacuum Drying 4 Rak CV Asianindo","0","Mesin vacuum drying adalah alat untuk mengeringkan produk pada suhu rendah secara konstan.  Cara kerjanya hanya melakukan pemanasan pada produk disertai dengan proses pemakuman (hampa).

Spesifikasi :

Model : 4 Rak 
Kapasitas : 4kg - 8kg
Dimensi : 150 x 122 x 160 cm
Bahan : Stainless Steel
Daya : 750 Watt
Pemanas : Kompor LPG
Suhu : Terkontrol Otomatis"
"Mesin Mixer VCO 50 Liter CV Asianindo","0","Mesin Mixer VCO ini dirancang khusus untuk mendukung proses produksi Virgin Coconut Oil (VCO) agar lebih homogen, efisien, dan konsisten. Mesin ini sangat cocok digunakan oleh pelaku usaha VCO, UMKM, hingga skala industri kecil yang membutuhkan proses pencampuran dengan hasil maksimal dan standar higienis.

Seluruh bagian mesin menggunakan bahan stainless steel, sehingga aman untuk produk pangan, tahan korosi, dan mudah dibersihkan. Dengan kapasitas 50 liter per proses, mesin ini mampu meningkatkan kapasitas produksi sekaligus menjaga kualitas VCO yang dihasilkan.

Spesifikasi Produk:
- Kapasitas: 50 Liter / proses
- Bahan mesin: Stainless Steel
- Berat mesin: ±250 kg
- Sistem pengadukan stabil dan merata
- Konstruksi kokoh untuk penggunaan jangka panjang

Informasi & pemesanan:
Silakan hubungi admin kami untuk konsultasi spesifikasi dan kebutuhan mesin sesuai kapasitas usaha Anda."
"Packing Kayu - Tambahan Perlindungan Ekstra untuk Pengiriman Aman","0","Perlindungan Ekstra untuk Pengiriman Aman Packing Kayu ini dirancang khusus untuk memberikan perlindungan ekstra pada mesin selama proses pengiriman. Keunggulan Produk: - Perlindungan ekstra untuk barang mudah pecah - Ideal untuk pengiriman jarak jauh Dengan menggunakan packing kayu ini, Anda dapat memastikan barang Anda tiba dengan aman di tempat tujuan, memberikan ketenangan pikiran saat mengirimkan barang-barang berharga Anda."
"3 Warna Mesin Sablon Asianindo (Rotogravure)","0","MESIN SABLON PLASTIK

Mesin Sablon Plastik 3 Warna. 
Spesifikasi:
- Bodi UNP/Plat esser 
- As mild steel 
- Panjang 350 cm x lebar 140cm x tinggi 170cm 
- Lebar media max 55cm 
- Kecepatan max 50rpm 
- Motor 2,5 HP VS (Variable Speed) 
- Blower 3x150 watt 
- Motor roll 0,5 HP VS 
- Heater (Pemanas) 
- Tension 1 
- Gearbox

catatan : 
Spek bisa berubah tergantung permintaan pembeli. garansi 1 tahun setelah mesin sampai di lokasi dan dipandu oleh ahli di bidangnya."
"Mesin Sortasi Kopi 3 Tingkat Asianindo","0","Spesifikasi : 

- Tipe: Meja Getar
- Meja Sortasi: Terdiri dari 3 buah ayakan Disusun bertingkat, bahan Stainless Steel Ayakan atas 8mm,Tengah 6mm dan bawah 4mm
- Penggerak Motor Listrik  1pk 220v
- Kerangka penyangga: Besi profil kotak
- Penggerak: Motor listrik 1PK, 220 v
- Sistem tranmisi: Pulley dan sabuk vbelt"
"Mesin Sortasi Kapasitas 500 Kg full stainless untuk menyortir kerang, biji kakao, biji kopi, dll Asianindo","0","Mesin sortasi adalah mesin yang berfungsi untuk memisahkan bahan-bahan berdasarkan ukuran, bentuk, warna, densitas, dan tekstur. Mesin sortasi dapat digunakan untuk memisahkan biji-bijian seperti kedelai, kopi, dan beras. 

Tujuan dari sortasi adalah untuk mendapatkan kualitas yang lebih baik dan seragam, serta untuk memberikan standarisasi dan perbaikan cara pengolahan. 

spesifikasi : 
- kapasitas 500 kg per proses ( continue )
- model getar 
- bahan full stainless
- penggerak dinamo 1 hp
- daya listrik 900 watt
- untuk lubang sortasi bisa custom sesuai permintaan.

melayani pengadaan kebutuhan untuk dinas maupun swasta"
"Mesin Pendingin Susu 50 Liter CV Asianindo","0","Mesin Pendingin Susu Kapasitas 50 Liter (Cooling Tank Stainless Steel)

Mesin Pendingin Susu 50L atau Cooling Tank digunakan untuk mendinginkan produk cair dengan suhu yang dapat disesuaikan. Mesin ini banyak digunakan pada industri makanan dan minuman, khususnya produk berbasis liquid yang membutuhkan suhu stabil dan merata.

Dilengkapi control panel untuk mengatur suhu dan kinerja mesin. Sistem tangki double jacket dengan lapisan isolasi membantu menjaga suhu tetap stabil selama proses pendinginan.

Spesifikasi Lengkap
Kapasitas tangki: 50 Liter
Dimensi: Ø 500 x Tinggi 600 mm
Material tangki: Plat HL dengan Polyurethane
Sistem pengaduk: Paddle + Elektro Motor (36 RPM)
Rangka: Pipa kotak stainless steel
Sistem pendingin: Kompresor 2 HP

Kelebihan Produk
Pendinginan lebih cepat dan merata
Suhu stabil untuk produk cair
Kompresor full cover stainless steel
Desain sederhana dan kokoh
Mudah dioperasikan dan dirawat

Cocok Untuk Produksi:
Pendinginan susu
Produk minuman cair
Bahan makanan berbasis liquid
Proses produksi industri makanan & minuman

Kualitas & Keamanan:Menggunakan material stainless steel food grade yang aman untuk produk makanan dan minuman. Cocok untuk kebutuhan produksi skala UMKM hingga industri kecil."
"Mesin Cetak Bakso Otomatis Kapasitas Besar 280 Butir/ Menit | CV Asianindo","0","Mesin Pencetak Bakso CV Asianindo adalah solusi tepat untuk meningkatkan produktivitas usaha bakso Anda. Dengan kapasitas produksi hingga 280 butir bakso per menit, mesin ini membantu mencetak bakso secara cepat, seragam, dan higienis sehingga usaha Anda semakin efisien.

Spesifikasi Mesin:
- Voltase: 220–240V
- Frekuensi: 50/60Hz
- Daya Listrik: 1.100 Watt
- Kapasitas Produksi: 280 butir/menit
- Kecepatan Aduk: 1.420 rpm
- Ukuran Cetak Bakso: 18 mm / 26 mm / 39 mm (dapat disesuaikan sesuai kebutuhan kecil-besarnya bakso)
- Berat Mesin: 74 Kg
- Dimensi (P x L x T): 750 x 450 x 1250 mm

Keunggulan Mesin Pencetak Bakso CV Asianindo:
-Meningkatkan kapasitas produksi dengan cepat dan stabil
- Hasil bakso lebih seragam dan higienis
- Ukuran cetak fleksibel sesuai kebutuhan usaha
- Desain kokoh dan tahan lama, cocok untuk usaha kecil hingga industri
- Hemat tenaga kerja, hemat waktu, dan lebih efisien

Cocok Digunakan Untuk:
- Usaha bakso skala kecil hingga besar
- Restoran, katering, dan dapur produksi makanan olahan

Dengan Mesin Pencetak Bakso CV Asianindo, Anda dapat memproduksi bakso lebih banyak dalam waktu singkat dan menjaga kualitas produk tetap konsisten."
